word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
annotation,n,Non-STE (not approved),,,WRITE (v) | RECORD (v),WRITE (v) RECORD (v),,WRITE THE TEMPERATURE VALUE ON THE ENGINE LOG CARD. | RECORD THE TEMPERATURE VALUE ON THE ENGINE LOG CARD.,Make an annotation of the temperature on the Engine Log Card. | Make an annotation of the temperature on the Engine Log Card.,2-1-A15
annunciate,v,Non-STE (not approved),,,SHOW (v),SHOW (v),,THE DISPLAY SHOWS A FAULT MESSAGE.,The display annunciates a fault message.,2-1-A15
another,adj,Non-STE (not approved),,,ONE (TN) MORE | DIFFERENT (adj) | AGAIN (adv),ONE (TN) MORE DIFFERENT (adj) AGAIN (adv),,"INSTALL ONE MORE WASHER BETWEEN THE NUT AND THE SURFACE. | REFER TO DETAIL C ON FIG. | 4 FOR A DIFFERENT PROCEDURE TO ATTACH THE CABLE. | BEFORE YOU TRY TO START THE ENGINE AGAIN, MAKE SURE THAT THE AREA IS SAFE.","Install another washer between the nut and the surface. | Refer to detail C on Fig. | 4 for another way of attaching the cable. | Before you try another engine start, make sure that the area is safe.",2-1-A15
anticlockwise,adv,Non-STE (not approved),,,COUNTERCLOCKWISE (adv),COUNTERCLOCKWISE (adv),,TURN THE CAP COUNTERCLOCKWISE.,Turn the cap anticlockwise.,2-1-A15
any,adj,Non-STE (not approved),,,,,"Frequently, an alternative for this word is not necessary.","IF YOU HAVE QUESTIONS ABOUT THIS DOCUMENT, SEND AN E-MAIL TO THE ADDRESS THAT FOLLOWS:","If you have any questions about this document, send an e-mail to the address that follows:",2-1-A16
any,pron,Non-STE (not approved),,,ONE (TN),ONE (TN),,REMOVE ONE OF THE FOUR BOLTS.,Remove any of the four bolts.,2-1-A16
anytime,adv,Non-STE (not approved),,,WHEN (conj),WHEN (conj),,"WHEN YOU USE THE EMERGENCY PUMP, RECORD THE TIME OF OPERATION.","Anytime you use the emergency pump, record the time of operation.",2-1-A16
APART,adv,STE (approved),,At a distance (not specified) from,,At a distance (not specified) from,,MOVE THE CABLE STRANDS APART.,,2-1-A16
aperture,n,Non-STE (not approved),,,OPENING (n),OPENING (n),,GET ACCESS TO THE CONTROL UNIT THROUGH THE OPENING IN THE SIDE OF THE TANK.,Get access to the control unit through the aperture in the side of the tank.,2-1-A16
apparent,adj,Non-STE (not approved),,,SEE (v) | FIND (v),SEE (v) FIND (v),,"IF YOU SEE DISCOLORATION, REPLACE THE PART. | IF YOU FIND A CRACK, DO THE APPLICABLE REPAIR PROCEDURE.","If discoloration is apparent, replace the part. | If a crack is apparent, do the applicable repair procedure.",2-1-A16
appear,v,Non-STE (not approved),,,SHOW (v) | VIEW (n) | THINK (v) | POSSIBLE (adj),SHOW (v) VIEW (n) THINK (v) POSSIBLE (adj),,"A WARNING FLAG SHOWS IN THE WINDOW. | WHEN YOU PULL THE LOWER BEARING DOWN, THE LOWER SEAL COMES INTO VIEW. | IF YOU THINK THAT THE ENGINE IS TOO HOT, TURN THE SWITCH TO “OFF.” IF IT IS POSSIBLE THAT THE TEMPERATURE VALUES ARE INCORRECT, DECREASE THE POWER.","A warning flag appears in the window. | The lower seal appears when you pull the lower bearing down. | If the engine appears to be too hot, turn the switch to off. | If it appears that the temperature values are incorrect, decrease the power.",2-1-A16
APPLICABLE,adj,STE (approved),,Correct or satisfactory for the task,,Correct or satisfactory for the task,,REFER TO THE TABLE THAT FOLLOWS FOR THE APPLICABLE TORQUE VALUES.,,2-1-A17
application,n,Non-STE (not approved),,,APPLY (v),APPLY (v),,APPLY THE SEALANT WITH A WOODEN SPATULA.,The application of sealant must be carried out with a wooden spatula.,2-1-A17
APPLY,v,STE (approved),"APPLIES, APPLIED, APPLIED","1. To put or spread something on 2. To use something (for example, pressure, force, load) to cause an effect",,"1. To put or spread something on 2. To use something (for example, pressure, force, load) to cause an effect",,APPLY THE SEALING COMPOUND. | APPLY A FORCE OF 100 N ON THE END OF THE LEVER.,,2-1-A17
appoint,v,Non-STE (not approved),,,TELL (v),TELL (v),,TELL TWO PERSONS TO BE PREPARED TO OPERATE THE FIRE EXTINGUISHERS.,Appoint two persons to be prepared to operate the fire extinguishers.,2-1-A17
approach,v,Non-STE (not approved),,,GO NEAR,GO NEAR,,"IF IT IS NECESSARY TO GO NEAR THE ENGINE EXHAUST, USE EAR PROTECTION.","If it is necessary to approach the engine exhaust, use ear protection.",2-1-A17
appropriate,adj,Non-STE (not approved),,,APPLICABLE (adj),APPLICABLE (adj),,LOCK THE WASHER WITH THE APPLICABLE TABS.,Lock the washer with the appropriate tabs.,2-1-A17
APPROVAL,n,STE (approved),,That which permits a person or a thing to do something,,That which permits a person or a thing to do something,,"BEFORE YOU REPAIR THIS UNIT, GET THE APPROVAL OF THE MANUFACTURER.",,2-1-A17
approve,v,Non-STE (not approved),,,APPROVAL (n),APPROVAL (n),,APPROVAL FROM THE DESIGN AUTHORITY IS MANDATORY FOR ALL MODIFICATIONS.,All modifications must be approved by the Design Authority.,2-1-A17
APPROVED,adj,STE (approved),,Permitted by an authority,,Permitted by an authority,,DO THE PROCEDURE IN AN APPROVED AREA.,,2-1-A17
APPROXIMATE,adj,STE (approved),,Almost correct or accurate,,Almost correct or accurate,,AN APPROXIMATE VALUE IS SATISFACTORY.,,2-1-A17
APPROXIMATELY,adv,STE (approved),,Almost correct or accurate,,Almost correct or accurate,,DRAIN APPROXIMATELY 2 LITERS OF FUEL.,,2-1-A18
AREA,n,STE (approved),,A specified surface or location,,A specified surface or location,,DO NOT SMOKE IN THE WORK AREA.,,2-1-A18
arise,v,Non-STE (not approved),,,OCCUR (v) | CAUSE (v),OCCUR (v) CAUSE (v),,SHOCK LOADING OF THE ENGINE CAN OCCUR DURING A HEAVY LANDING. | A HEAVY LANDING CAN CAUSE SHOCK LOADING OF THE ENGINE.,Shock loading of the engine can arise from a heavy landing. | Shock loading of the engine can arise from a heavy landing.,2-1-A18
ARM,v,STE (approved),"ARMS, ARMED, ARMED",1. To install armaments 2. To prepare for automatic operation,,1. To install armaments 2. To prepare for automatic operation,,ARM THE AIRCRAFT. | SET THE SWITCH TO “CLOSE” TO ARM THE CIRCUIT.,,2-1-A18
AROUND,prep,STE (approved),,On all sides of,APPROXIMATELY (adv),On all sides of APPROXIMATELY (adv),"For other meanings, use:",PUT THE STRAP CLAMPS AROUND THE CYLINDER. | THE TEST BENCH IS APPROXIMATELY 10 FEET FROM THE DOOR.,The test bench is around 10 feet from the door.,2-1-A18
arrange,v,Non-STE (not approved),,,PUT (v),PUT (v),,PUT THE COMPONENTS IN THIS SEQUENCE:,Arrange the components in this order.,2-1-A18
arrangement,n,Non-STE (not approved),,,CONFIGURATION (TN) | PREPARE (v),CONFIGURATION (TN) PREPARE (v),,THE CONFIGURATION OF THE INSERTS IS RELATED TO THE DIMENSIONS OF THE CONNECTOR SHELL. | PREPARE FOR THE LEAK TEST.,The arrangement of the inserts is related to the dimensions of the connector shell. | Make the arrangements for the leak test.,2-1-A18
arrest,v,Non-STE (not approved),,,STOP (v) | HOLD (v),STOP (v) HOLD (v),,STOP THE FLOW FOR 10 SECONDS. | A COTTER PIN HOLDS THE ATTACHMENT BAR.,Arrest the flow for 10 seconds. | A cotter pin arrests the attachment bar.,2-1-A18
arrive,v,Non-STE (not approved),,,GET (v),GET (v),,"TO GET THE CORRECT VALUE, SET THE SWITCH TO POSITION 2.","To arrive at the correct value, set the switch to position 2.",2-1-A19
ARROW,n,STE (approved),,A mark that has a point to show direction,,A mark that has a point to show direction,,MAKE SURE THAT THE ARROW POINTS IN THE DIRECTION OF THE FUEL FLOW.,,2-1-A19
article,n,Non-STE (not approved),,,OBJECT (n),OBJECT (n),,MAKE SURE THAT THERE ARE NO LOOSE OBJECTS IN THE ENGINE AIR INTAKES.,Ensure that there are no loose articles in the engine air intakes.,2-1-A19
AS,prep,STE (approved),,"In the manner of, to the same quantity, equally",,"In the manner of, to the same quantity, equally",,DO NOT USE THE CYLINDER AS A SUPPORT.,,2-1-A19
as,conj,Non-STE (not approved),,,BECAUSE (conj) | WHILE (conj) | AS FOLLOWS AS NECESSARY AS SHOWN,BECAUSE (conj) WHILE (conj) AS FOLLOWS AS NECESSARY AS SHOWN,You can use:,"THE PUMP DID NOT OPERATE BECAUSE THE SHAFT WAS BROKEN. | WHILE YOU DO EACH STEP OF THE VALVE TEST, MAKE SURE THAT THERE IS NO LEAKAGE. | ASSEMBLE THE VALVE AS FOLLOWS: SET THE LENGTH OF THE CONTROL ROD AS NECESSARY. | MEASURE THE DEPTH OF THE DENT AS SHOWN IN FIGURE 4.","The pump did not operate as the shaft was broken. | As you do each step of the valve test, make sure that there is no leakage.",2-1-A19
AS ... AS,conj,STE (approved),,Construction used to show comparison or relation,,Construction used to show comparison or relation,"For “as long as,” refer to “long (as long as).”",MOVE THE LEVER AS FAST AS POSSIBLE.,,2-1-A19
ascertain,v,Non-STE (not approved),,,MAKE SURE (v),MAKE SURE (v),,MAKE SURE THAT THE LIGHT IS OFF.,Ascertain that the light is off.,2-1-A19
ask,v,Non-STE (not approved),,,TELL (v) | SPEAK (v),TELL (v) SPEAK (v),,TELL THE DRIVER TO SET THE SWITCH TO OFF. | SPEAK TO THE LOCAL AIR TRAFFIC CONTROLLER.,Ask the driver to set the switch to off. | Ask the local air traffic controller.,2-1-A20
ASSEMBLE,v,STE (approved),"ASSEMBLES, ASSEMBLED, ASSEMBLED","To attach, connect, or put together the parts of something",,"To attach, connect, or put together the parts of something",,ASSEMBLE THE VALVE AS FOLLOWS:,,2-1-A20
ASSEMBLY,n,STE (approved),,Items that are connected for a specified function,,Items that are connected for a specified function,,REMOVE THE WHEEL BRAKE ASSEMBLY FROM THE AXLE.,,2-1-A20
assess,v,Non-STE (not approved),,,CALCULATE (v) | ESTIMATE (n),CALCULATE (v) ESTIMATE (n),,CALCULATE THE QUANTITY OF FUEL THAT IS NECESSARY. | MAKE AN ESTIMATE OF THE DAMAGE.,Assess the quantity of fuel that is necessary. | Assess the damage.,2-1-A20
assessment,n,Non-STE (not approved),,,ESTIMATE (n) | CALCULATE (v),ESTIMATE (n) CALCULATE (v),,MAKE AN ESTIMATE OF THE DAMAGE. | CALCULATE THE NUMBER OF SHIMS THAT ARE NECESSARY.,Carry out an assessment of the damage. | Do an assessment of the number of shims that are necessary.,2-1-A20
assign,v,Non-STE (not approved),,,GIVE (v),GIVE (v),,GIVE A CODE TO EACH CONNECTOR.,Assign a code to each connector.,2-1-A20
assist,v,Non-STE (not approved),,,HELP (v),HELP (v),,KEEP THE DATA TO HELP YOU WITH SUBSEQUENT PROCEDURES.,Keep the data to assist subsequent procedures.,2-1-A20
assistance,n,Non-STE (not approved),,,AID (n) | HELP (v),AID (n) HELP (v),,"FOR THIS STEP, MAKE SURE THAT YOU HAVE THE AID OF ONE MORE PERSON. | FOR THIS STEP, MAKE SURE THAT ONE PERSON HELPS YOU.","For this step, you must have the assistance of one more person. | For this step, you must have the assistance of one person.",2-1-A20
associated,adj,Non-STE (not approved),,,CORRECT (adj) | RELATED (adj) | ITS (adj) | THEIR (adj),CORRECT (adj) RELATED (adj) ITS (adj) THEIR (adj),,INSTALL THE DUMP VALVE AND THE CORRECT GASKET. | REMOVE THE PANELS FROM THE RELATED DOORS. | REMOVE THE BOLT AND ITS WASHER. | REMOVE THE EIGHT BOLTS AND THEIR WASHERS.,Install the dump valve with the associated gasket. | Remove the panels from the associated doors. | Remove the bolt and the associated washer. | Remove the eight bolts and the associated washers.,2-1-A21
assume,v,Non-STE (not approved),,,THINK (v),THINK (v),,"IF YOU THINK THAT YOU CAN REPAIR THE DAMAGE, REFER TO THE REPAIR SECTION.","If damage is assumed to be repairable, refer to the repair section.",2-1-A21
assure,v,Non-STE (not approved),,,MAKE SURE (v),MAKE SURE (v),,USE A PLUMB LINE TO MAKE SURE THAT THE WALL IS VERTICAL.,Use a plumb line to assure that the wall is vertical.,2-1-A21
as to,prep,Non-STE (not approved),,,ABOUT (prep),ABOUT (prep),,REFER TO TABLE 7001 FOR INFORMATION ABOUT HOW THE PIVOT ASSEMBLY IS MADE.,Refer to Table 7001 for information as to the construction of the pivot assembly.,2-1-A21
asymmetric,adj,Non-STE (not approved),,,NOT SYMMETRICAL,NOT SYMMETRICAL,,"IF THE RESULT THAT YOU GET IS NOT SYMMETRICAL, DO A RIGGING TEST.","If you get an asymmetric result, do a rigging test.",2-1-A21
AT,prep,STE (approved),,"Function word that shows the location, position, direction, or time that something occurs",,"Function word that shows the location, position, direction, or time that something occurs",,"DISCONNECT THE HOSE AT THE PITOT HEAD. | AT APPROXIMATELY 300 KNOTS, THE LIGHT COMES ON. | WITH THE NOSEWHEEL AT 30 DEG. | TO THE CENTER LINE, SET THE LEVER TO “UP.”",,2-1-A21
ATTACH,v,STE (approved),"ATTACHES, ATTACHED, ATTACHED",To stay together or to cause different items to stay together,,To stay together or to cause different items to stay together,,MAKE SURE THAT THE LABEL FULLY ATTACHES TO THE SURFACE AND THAT THERE ARE NO BUBBLES. | TEMPORARILY ATTACH THE CABLE TO THE ADJACENT STRUCTURE.,,2-1-A22
attachment,n,Non-STE (not approved),,,ATTACH (v),ATTACH (v),,MAKE SURE THAT THE DUCT IS CORRECTLY ATTACHED TO THE FILTER.,Make sure that the attachment of the duct to the filter is correct.,2-1-A22
attain,v,Non-STE (not approved),,,SHOW (v) | BE (v) | GET (v),SHOW (v) BE (v) GET (v),,"WHEN THE VOLTMETER SHOWS 28 VOLTS DC, THE RELAY CLOSES. | WHEN THE VOLTAGE IS 28 VOLTS DC, THE RELAY CLOSES. | WHEN YOU GET 28 VOLTS DC, THE RELAY CLOSES.","When 28 volts DC is attained, the relay closes. | When 28 volts DC is attained, the relay closes. | When 28 volts DC is attained, the relay closes.",2-1-A22
attempt,n,Non-STE (not approved),,,TRY (v),TRY (v),,TRY TO LIFT THE COVER MANUALLY.,Make an attempt to lift the cover manually.,2-1-A22
attempt,v,Non-STE (not approved),,,TRY (v),TRY (v),,TRY TO FIND THE DEFECT.,Attempt to find the defect.,2-1-A22
attention,n,Non-STE (not approved),,,AID (n) | CAREFUL (adj) | MONITOR (v),AID (n) CAREFUL (adj) MONITOR (v),,"IF YOU GET PAINT SPRAY IN YOUR EYES, GET MEDICAL AID. | BE CAREFUL WHEN YOU REMOVE THE CONTROL UNIT. | MONITOR THE RESULTS.","If you get paint spray in your eyes, get medical attention. | Pay attention when you remove the control unit. | Pay attention to the results.",2-1-A22
audible,adj,Non-STE (not approved),,,HEAR (v) | LISTEN (v),HEAR (v) LISTEN (v),,"IF YOU CANNOT HEAR THE ALARM, ADJUST THE VOLUME CONTROL. | LISTEN FOR AIR LEAKAGE FROM THE LINES.","If the alarm is not audible, adjust the volume control. | Check the lines for audible air leakage.",2-1-A23
augment,v,Non-STE (not approved),,,INCREASE (v),INCREASE (v),,A MIXTURE OF WATER AND METHANOL INCREASES THE POWER OF THE ENGINE.,A mixture of water and methanol augments the power of the engine.,2-1-A23
aurally,adv,Non-STE (not approved),,,LISTEN (v) | HEAR (v),LISTEN (v) HEAR (v),,LISTEN TO MAKE SURE THAT THE FLUID FLOWS. | YOU CAN HEAR THE WARNING IN THE COCKPIT.,Check aurally to ensure fluid flow. | The warning is given aurally in the cockpit.,2-1-A23
authentic,adj,Non-STE (not approved),,,ACCURATE (adj),ACCURATE (adj),,"IF THE ADJUSTMENT OF THE STOPS IS NOT CORRECT, THE RESULTS OF THE TEST WILL NOT BE ACCURATE.","If the adjustment of the stops is not correct, the results of the test will not be authentic.",2-1-A23
AUTHORITY,n,STE (approved),,An official organization that gives approval to something,,An official organization that gives approval to something,,"BEFORE YOU CHANGE THE PROCEDURE, GET THE APPROVAL OF THE DESIGN AUTHORITY.",,2-1-A23
authorized,adj,Non-STE (not approved),,,APPROVED (adj),APPROVED (adj),,ONLY APPROVED PERSONS ARE PERMITTED TO STAY IN THIS AREA.,Only authorized persons are permitted to stay in this area.,2-1-A23
AUTOMATIC,adj,STE (approved),,That operates without other input,,That operates without other input,,THE AUTOMATIC SYSTEM WILL OPEN THE DOORS.,,2-1-A23
AUTOMATICALLY,adv,STE (approved),,That operates without other input,,That operates without other input,,THE FUEL FLOW STOPS AUTOMATICALLY.,,2-1-A23
AUXILIARY,adj,STE (approved),,1. That operates in a secondary function 2. That gives help,,1. That operates in a secondary function 2. That gives help,,LUBRICANTS FOR THE ENGINE AND THE AUXILIARY EQUIPMENT ARE THE SAME. | USE AUXILIARY SCREWS TO ASSEMBLE THE UNIT TEMPORARILY.,,2-1-A24
AVAILABLE,adj,STE (approved),,Prepared or supplied for you to use,,Prepared or supplied for you to use,,"IF ELECTRICAL POWER IS AVAILABLE, DO A CONTINUITY CHECK.",,2-1-A24
avert,v,Non-STE (not approved),,,PREVENT (v),PREVENT (v),,"IF THE MICROSWITCH BECOMES UNSERVICEABLE, DEACTIVATE THE ACTUATOR TO PREVENT DAMAGE TO THE VALVE.","If the microswitch becomes unserviceable, deactivate the actuator to avert damage to the valve.",2-1-A24
avoid,v,Non-STE (not approved),,,PREVENT (v) | DO NOT,PREVENT (v) DO NOT,,TURN THE CONTROLS SLOWLY TO PREVENT DAMAGE. | DO NOT PUSH ON THE SEALS.,Turn the controls slowly to avoid damage. | Avoid pushing on the seals.,2-1-A24
aware,adj,Non-STE (not approved),,,KNOW (v) | TELL (v),KNOW (v) TELL (v),,ALL PERSONNEL MUST KNOW THE HEALTH RISKS. | TELL ALL PERSONNEL ABOUT THE NEW RULES.,All personnel must be aware of the health risks. | All personnel must be aware of the new rules.,2-1-A24
AWAY FROM,prep,STE (approved),,In or to a different position or direction,,In or to a different position or direction,,DO THE WORK IN AN AREA AWAY FROM EQUIPMENT OR METAL FRAME BUILDINGS.,,2-1-A24
AXIAL,adj,STE (approved),,Related to an axis,,Related to an axis,,DO STEPS 1 THRU 4 TO MAKE SURE THAT NO AXIAL LOAD IS ON THE ROD.,,2-1-A24
AXIALLY,adv,STE (approved),,Related to an axis,,Related to an axis,,APPLY THE LOAD AXIALLY.,,2-1-A24
back,adj,Non-STE (not approved),,,REAR (adj),REAR (adj),,DISCONNECT THE CABLE FROM THE REAR SIDE OF THE INSTRUMENT.,Disconnect the cable from the back side of the instrument.,2-1-B1
BACK,adv,STE (approved),,To an initial condition,,To an initial condition,,MOVE THE ENGINE THROTTLE BACK TO 60% RPM.,,2-1-B1
back,n,Non-STE (not approved),,,REAR (n),REAR (n),,THE CONTROL UNIT IS AT THE REAR.,The control unit is at the back.,2-1-B1
back and forth,adv,Non-STE (not approved),,,DIRECTION (n),DIRECTION (n),,MOVE THE SLEEVE IN THE PISTON TO ONE DIRECTION AND THEN BACK AGAIN.,Move the sleeve back and forth in the piston.,2-1-B1
back off,v,Non-STE (not approved),,,LOOSEN (v),LOOSEN (v),,DO NOT LOOSEN THE NUT TO ALIGN IT.,Do not back off the nut to obtain alignment.,2-1-B1
backup,n,Non-STE (not approved),,,EMERGENCY (n) | AUXILIARY (adj),EMERGENCY (n) AUXILIARY (adj),,"IN AN EMERGENCY, THE ONE-SHOT BATTERY SUPPLIES DC POWER. | USE AUXILIARY SCREWS TO ASSEMBLE THE UNIT TEMPORARILY.",The one-shot battery is a backup for the DC electrical supply. | Use some screws as a backup to assemble the unit temporarily.,2-1-B1
backward,adv,Non-STE (not approved),,,REARWARD (adv),REARWARD (adv),,MOVE THE LEVER REARWARD.,Move the lever backward.,2-1-B1
BAD,adj,STE (approved),"WORSE, WORST",Not satisfactory,,Not satisfactory,Do not use this word if more accurate and clear words are available.,"REFER TO CHAPTER 6 FOR INSTRUCTIONS ABOUT HOW TO PARK IN BAD WEATHER CONDITIONS. | IF THE LENGTH OF THE CRACK IS MORE THAN THE PERMITTED LIMIT, REPLACE THE PART.","If the crack is bad, replace the part.",2-1-B1
badly,adv,Non-STE (not approved),,,INCORRECTLY (adv) | UNSATISFACTORILY (adv) | DECREASE (v),INCORRECTLY (adv) UNSATISFACTORILY (adv) DECREASE (v),,"IF THE SLEEVE IS INCORRECTLY ATTACHED, ADJUST IT. | DISCARD ALL SEALS WHICH ARE UNSATISFACTORILY BONDED. | FUEL LEAKS CAN DECREASE ENGINE PERFORMANCE.","If the sleeve is badly attached, adjust it. | Discard all seals which are badly bonded. | A fuel leak can cause the engine to operate badly.",2-1-B2
BALANCE,v,STE (approved),"BALANCES, BALANCED, BALANCED",To make equal,,To make equal,,BALANCE THE ELECTRICAL LOADS ON EACH GENERATOR.,,2-1-B2
