word,part_of_speech,other_forms,approved_meaning,guidance,ste_examples,page
ONLY,adv,,Exclusively,,"TO TIGHTEN THE NUTS, USE ONLY A TORQUE WRENCH.",2-1-O3
ONTO,prep,,To a position on or upon,,"WHEN YOU LOWER THE PUMP, MOVE IT ONTO THE MOUNTING BRACKETS.",2-1-O3
OPEN,adj,,That lets something go in or out,,PUT A PLUG ON THE OPEN END OF EACH PIPE.,2-1-O3
OPEN,v,"OPENS, OPENED, OPENED",1. To move or cause to move from the closed position 2. To operate a circuit breaker to interrupt an electrical circuit,,"OPEN THE PRESSURE VALVE. | WHEN THE RELIEF VALVE OPENS, THE PRESSURE DECREASES. | OPEN THE CIRCUIT BREAKER.",2-1-O4
OPENING,n,,An aperture or hole in a surface,,MAKE SURE THAT THE OPENING IS CLEAR.,2-1-O4
OPERATE,v,"OPERATES, OPERATED, OPERATED","To put, keep, or be in action",,OPERATE THE PLUNGER TO DRAIN THE SYSTEM. | DO NOT GO NEAR THE ENGINE WHEN IT OPERATES.,2-1-O4
OPERATION,n,,That which occurs when something operates or is operated,,THIS PROCEDURE IS IMPORTANT FOR THE CORRECT OPERATION OF THE VALVE.,2-1-O4
OPPOSITE,adj,,1. In the other direction 2. Across from,,THE RESET DEVICE OPERATES IN THE OPPOSITE DIRECTION. | THE BOLTS ARE ON THE OPPOSITE SIDE OF THE FLANGE.,2-1-O5
OPPOSITE,prep,,Across from,,THE UNIT IS IN THE WHEEL BAY OPPOSITE THE LANDING GEAR.,2-1-O5
OPTIONAL,adj,,Not mandatory,,THIS TOOL IS OPTIONAL.,2-1-O5
OR,conj,,Function word that shows a choice,Do not use this word with the meaning of otherwise. Use a different construction.,"DO NOT TOUCH THE HIGH TENSION LEADS OR THE IGNITER PLUGS. | MAKE SURE THAT THE L-SHAPED SEAL STAYS BONDED. | IF THE SEAL DOES NOT STAY BONDED, A LEAK CAN OCCUR.",2-1-O5
OTHER,adj,,Not the same as that given before,,CONNECT ONE OF THE STUDS TO THE GROUND AND THE OTHER STUDS TO THE PINS.,2-1-O6
OTHER,pron,,That which is not the same as that given before,,"CONNECT ONE PLUG, THEN CONNECT THE OTHER.",2-1-O6
OUT,adj,,"Away from, or not in, a location or position",,"IF THE INDICATOR BUTTON IS OUT, REPLACE THE FILTER.",2-1-O6
OUT,adv,,To a position away from the inside,,"WHEN THE INDICATOR BUTTON COMES OUT, REPLACE THE FILTER.",2-1-O6
OUT OF,prep,,1. Through or from the inside to the outside 2. Not in,,TILT THE FITTING TO MAKE THE BARREL NUT FALL OUT OF IT. | KEEP THE COMPOUND OUT OF THE SUNLIGHT.,2-1-O6
OUTBOARD,adj,,Farther from the longitudinal axis of something,,MEASURE THE MOVEMENT OF THE INBOARD AND OUTBOARD FLAPS.,2-1-O7
OUTBOARD,adv,,"In, or to, a position farther from the longitudinal axis of something",,MOVE THE JACK OUTBOARD TO DISENGAGE IT FROM THE JACKING POINT.,2-1-O7
OUTBOARD OF,prep,,At a position farther from the longitudinal axis,,PUT THE ACCESS PLATFORM IN A POSITION THAT IS OUTBOARD OF THE FLAP TRACK.,2-1-O7
OUTDOORS,adv,,Not in a building,,DO THIS WORK OUTDOORS.,2-1-O7
OUTER,adj,,Located on the outside or farther from the center of an object,,APPLY SEALANT ON THE OUTER SURFACE.,2-1-O7
OUTPUT,n,,"The data, power, energy that comes out of equipment or a system",,THE IMPEDANCE MATCHING TRANSFORMERS SUPPLY 60 W OUTPUT TO THE LOUDSPEAKERS.,2-1-O7
OVERBOARD,adv,,Out of a vessel,,RELEASE THE AIR OVERBOARD.,2-1-O9
OVERLAP,n,,The area in which a part of one surface is on a part of a second surface,,"IF THE OVERLAP IS MORE THAN 0,01 mm, REPLACE THE PART.",2-1-O9
OVERRIDE,v,"OVERRIDES, OVERRODE, OVERRIDDEN",To prevent the automatic operation of a part or system,,MANUALLY OVERRIDE THE START SEQUENCE.,2-1-O9
PAINT,v,"PAINTS, PAINTED, PAINTED",To apply paint to something,,PAINT ALL THE SURFACES.,2-1-P1
PAIR,n,,"Two objects that are the same or almost the same, and/or that you use together",,MEASURE THE DISTANCE BETWEEN EACH PAIR OF AXLES.,2-1-P1
PARALLEL,adj,,Along lines that stay a constant distance apart at all points,,MAKE SURE THAT THE SURFACE IS PARALLEL TO THE AXIS OF THE SHAFT.,2-1-P1
PARK,v,"PARKS, PARKED, PARKED",To stop a vehicle and to let it stay in one position on the ground,,PARK THE CAR IN THE PERMITTED AREA.,2-1-P1
PART,n,,"1. A constituent of an object, machine, component, assembly, or equipment 2. A piece or section of a whole",,REPLACE THE DEFECTIVE PARTS. | REFER TO PART 2 FOR THE APPLICABLE PROCEDURE.,2-1-P1
PARTICLE,n,,A very small piece of material,,"IF THERE ARE METAL PARTICLES IN THE DISASSEMBLED PUMP, FIND THE SOURCE OF CONTAMINATION.",2-1-P1
PASTE,n,,"A wet, flexible mixture or compound",,MIX THE MATERIALS UNTIL THEY MAKE A SOLID PASTE.,2-1-P2
PATCH,n,,A piece of material that you use to repair a surface or hole,,BOND THE PATCH TO THE TUBE WITH ADHESIVE.,2-1-P3
PERFORMANCE,n,,"The ability of a part, a mechanism, or system to do its necessary function when you compare it with a standard or specification","For other meanings, use:","THESE ADJUSTMENTS WILL INCREASE THE PERFORMANCE OF THE ENGINE. | DO THE TEST. | THEN, GO TO PARAGRAPH C.",2-1-P4
PERIOD,n,,A quantity of time,,THE EMERGENCY LOCATOR TRANSMITTER HAS A STANDBY PERIOD OF 30 SECONDS.,2-1-P4
PERMANENT,adj,,Without a limit in time,,MAKE SURE THAT THE PERMANENT INSTALLATION OF THE SYSTEM IS SAFE.,2-1-P4
PERMANENTLY,adv,,In a permanent manner,,THE “NO SMOKING” SIGNS WILL STAY ON PERMANENTLY.,2-1-P4
PERMITTED,adj,,Allowed,,A MAXIMUM OF TWO WASHERS IS PERMITTED FOR EACH BOLT.,2-1-P4
PERPENDICULAR,adj,,At a 90 degree angle to a given line or plane,,MAKE SURE THAT THE TOOL AND FASTENER ARE PERPENDICULAR TO THE WORK SURFACE.,2-1-P4
PERSON,n,,A human being,,"WHEN YOU DO WORK IN ISOLATED LOCATIONS, MAKE SURE THAT THERE IS ALWAYS A PERSON NEAR YOU.",2-1-P5
PERSONNEL,n,,Persons employed in a group or organization,,TELL YOUR PERSONNEL ABOUT THESE NEW REGULATIONS.,2-1-P5
PIECE,n,,"A quantity or segment of a whole that you can use on its own, or that can operate as an individual item",,REMOVE ALL PIECES OF THE BROKEN SEAL.,2-1-P5
PLAY,n,,"Free movement, the length or dimension of this movement",,THE AXIAL PLAY BETWEEN THE TWO GEARS MUST BE LESS THAN 0.05 mm.,2-1-P6
PLUS,prep,,With the addition of,,"INCREASE THE PRESSURE IN THE SHOCK ABSORBER TO 85.5 bar, PLUS OR MINUS 2.7 bar.",2-1-P6
PNEUMATIC,adj,,"Related to, or operated by gas pressure",,INSTALL THE PNEUMATIC CONTROLLER.,2-1-P6
PNEUMATICALLY,adv,,With pneumatic power,,SOME VALVES IN THE SYSTEM OPERATE PNEUMATICALLY.,2-1-P6
POINT,n,,1. A sharp or tapered end 2. An accurate location,,"PUT THE POINT OF THE TOOL IN THE SLOT. | ON THE FLANGE, MEASURE THE DISTANCE BETWEEN POINTS “A” AND “B.”",2-1-P6
POINT,v,"POINTS, POINTED, POINTED",1. To show the position or direction of 2. To turn something in a specified direction,,MAKE SURE THAT THE ARROW ON THE CHECK VALVE POINTS AWAY FROM THE GROUND SUPPLY DUCT. | DO NOT POINT THE COMPRESSED AIR NOZZLE AT YOUR SKIN.,2-1-P6
POISONOUS,adj,,That contains poison,,DO NOT SWALLOW LUBRICATING OIL. | IT IS POISONOUS.,2-1-P7
POLISH,v,"POLISHES, POLISHED, POLISHED",To make smooth or shiny,,POLISH THE WINDOW PANE WITH A SOFT CLOTH.,2-1-P7
POSITION,n,,"The attitude or setting of something that you can adjust, or the place or site where you put something",,"SET THE SWITCH TO THE CORRECT POSITION. | ON THE CENTER PEDESTAL, MAKE SURE THAT THE WARNING NOTICES ARE IN POSITION.",2-1-P8
POSSIBLE,adj,,That can occur,,"IF YOU DO NOT USE A PROTECTIVE COVER, DAMAGE TO THE SURFACE IS POSSIBLE.",2-1-P8
POSSIBLY,adv,,That can occur,,"IF YOU CANNOT ENGAGE THE ROD AND THE PISTON, THE LENGTH OF THE NEW ROD IS POSSIBLY INCORRECT.",2-1-P8
PRECAUTION,n,,That which you do to prevent injury and/or damage,,OBEY THESE PRECAUTIONS.,2-1-P8
PRECISION,n,,The quality of being accurate,,THE TEMPERATURE OF THE OIL HAS AN EFFECT ON THE PRECISION OF THE OIL LEVEL INDICATOR.,2-1-P9
PREPARE,v,"PREPARES, PREPARED, PREPARED",To make or become ready,,PREPARE THE TUBE FOR THE LEAK TEST. | PREPARE FOR THE ELECTRICAL BONDING PROCEDURE.,2-1-P10
PRESSURIZATION,n,,The procedure that supplies or increases the pressure,,CONTINUE THE PRESSURIZATION FOR 10 MINUTES.,2-1-P10
PRESSURIZE,v,"PRESSURIZES, PRESSURIZED, PRESSURIZED",To supply pressure,,PRESSURIZE THE CHAMBER TO 150 psi.,2-1-P10
PREVENT,v,"PREVENTS, PREVENTED, PREVENTED",To make sure that something does not occur,,"TO PREVENT DAMAGE TO THE ENGINE, IMMEDIATELY INSTALL PROTECTIVE COVERS ON ALL OPENINGS.",2-1-P11
PREVIOUS,adj,,That goes before in an unspecified time or sequence,Be accurate. Use LAST (adj) for the event that occurs immediately before in time or sequence.,"IF YOU SELECTED “YES” IN A PREVIOUS STEP, GO TO PARAGRAPH 7.5. | DO THE LAST INSPECTION AGAIN.",2-1-P11
PREVIOUSLY,adv,,"Before, earlier, in the past",,THIS SOFTWARE FINDS TERMS FROM PREVIOUSLY TRANSLATED FILES.,2-1-P11
PRIMARY,adj,,First in importance,,THE PRIMARY FUNCTION OF THE POWER UNIT IS TO SUPPLY ELECTRICAL POWER.,2-1-P11
PROBLEM,n,,Something that is difficult and for which you must find the correct answer,,"IF YOU FIND A PROBLEM DURING THE TEST, REFER TO THE FAULT ISOLATION TABLE.",2-1-P12
PROCEDURE,n,,Steps that are in a sequence,,THIS SECTION GIVES THE PROCEDURE TO DISASSEMBLE THE COMPONENT FULLY.,2-1-P13
PROPERTY,n,,A characteristic or attribute of an object,,THE MAGNETIC PROPERTIES OF THIS METAL DECREASE AT HIGH TEMPERATURES.,2-1-P15
PROPORTION,n,,The ratio of something to something else,"For other meanings, use:",ALWAYS MIX CLEANING AGENTS WITH COLD WATER IN THE CORRECT PROPORTIONS. | THE TEMPERATURE DECREASES IN RELATION TO THE ALTITUDE.,2-1-P15
PROTECTION,n,,"Something to prevent injury, damage, or failure",,APPLY TWO LAYERS OF SEALING COMPOUND ON THE SURFACES THAT HAVE NO PROTECTION.,2-1-P16
PROTECTIVE,adj,,That gives protection,,REMOVE THE PROTECTIVE LAYER.,2-1-P16
PROTRUDE,v,PROTRUDES PROTRUDED PROTRUDED,To be farther forward or out from an adjacent surface,,"IF THE POP-OUT INDICATOR PROTRUDES, REPLACE THE FILTER ELEMENT.",2-1-P16
PULL,v,"PULLS, PULLED, PULLED",To use a force on something to move it toward the source of the force,Use this word together with a preposition or an adverb to show direction.,PULL THE CABLE DOWN AND AWAY FROM THE BRACKET.,2-1-P17
PUSH,v,"PUSHES, PUSHED, PUSHED",1. To apply a force to something to move it away from the source of the force 2. To move with a force against something,Use this word together with a preposition or an adverb to show direction.,PUSH THE INSERT DOWN UNTIL IT TOUCHES THE BOTTOM OF THE HOLE. | THE SPRING UNIT PUSHES AGAINST THE BRAKE PEDAL.,2-1-P18
PUT,v,"PUTS, PUT",To cause something to move or to be in a specified position or condition,No other verb forms.,PUT THE ADAPTER IN POSITION AGAINST ITS SUPPORT. | PUT THE LEVER BACK TO ITS INITIAL POSITION.,2-1-P18
PUT ON,v,"PUTS ON, PUT ON","To cover your skin or face with clothing, or other items that give protection",No other verb forms.,PUT ON SAFETY GOGGLES AND PROTECTIVE CLOTHING.,2-1-P18
QUALITY,n,,"Condition, property, or type",,THIS MEDICAL EQUIPMENT MUST BE OF GOOD QUALITY.,2-1-Q1
QUANTITY,n,,A specified amount or number,"For an amount that you can count, use NUMBER (n).",APPLY A SMALL QUANTITY OF LUBRICATING OIL ON THE THREADS OF THE BOLTS. | MAKE SURE THAT YOU HAVE THE CORRECT NUMBER OF SHIMS AVAILABLE.,2-1-Q1
QUICKLY,adv,,In a fast manner,,MAKE SURE THAT THE PRESSURE DECREASES QUICKLY.,2-1-Q1
RADIAL,adj,,Along a radius,,"DO A CHECK FOR RADIAL CUTS, CRACKS, OR SPLITS.",2-1-R1
RADIALLY,adv,,Along a radius,,THE FAN BLADES ARE INSTALLED RADIALLY.,2-1-R1
RADIOACTIVE,adj,,Related to radioactivity,,DO A CHECK FOR RADIOACTIVE CONTAMINATION.,2-1-R1
RANDOM,adj,,Not regular,,"DURING THIS PROCEDURE, DO RANDOM CHECKS OF THE TIRE PRESSURE.",2-1-R1
RANDOMLY,adv,,Not regularly,,DO THESE CHECKS RANDOMLY.,2-1-R1
RANGE,n,,The limits within which something operates,,THE AUDIO SPECTRUM IS THE FREQUENCY RANGE AT WHICH HUMANS CAN HEAR.,2-1-R1
RATE,n,,A measurement of how frequently or how quickly something occurs,,MAKE SURE THAT THE FLOW RATE IS CORRECT.,2-1-R1
READ,v,"READS, READ, READ",To come to know information with the eyes or electronically,,READ THE INDICATORS ON THE CONTROL PANEL.,2-1-R2
REAR,adj,,Away from the person who looks or from a reference point,,INSTALL THE TWO BOLTS IN THE REAR FITTINGS.,2-1-R3
REAR,n,,The rear part or rear surface,,THE CIRCUIT BREAKERS ARE INSTALLED ON THE REAR OF THE UNIT.,2-1-R3
REARWARD,adv,,In the direction of the rear,,PULL THE LEVER REARWARD.,2-1-R3
RECEIVE,v,"RECEIVES, RECEIVED, RECEIVED","To get energy, material, or a signal from a different source",,MAKE SURE THAT THE CAPTAIN'S BOOMSET RECEIVES THE SIGNALS CORRECTLY.,2-1-R4
RECESS,n,,An indentation in a surface,,"WHEN YOU CLEAN THE SURFACES, REMOVE THE STAINS FROM THE RECESSES.",2-1-R4
RECOMMEND,v,"RECOMMENDS, RECOMMENDED, RECOMMENDED",To advise that which is best,,THE MANUFACTURER RECOMMENDS THAT YOU KEEP THE UNIT IN A DEDICATED AREA.,2-1-R5
RECORD,v,"RECORDS, RECORDED, RECORDED",1. To make notes of and keep data to use subsequently 2. To put data on a storage medium,,RECORD THE RESULTS. | THE COCKPIT VOICE RECORDER RECORDS SIGNALS FROM FOUR AUDIO INPUTS DURING THE FLIGHT.,2-1-R5
RECYCLE,v,"RECYCLES, RECYCLED, RECYCLED",To put a used material through a process to make it possible to use it or its components again,"For other meanings, use:",MAKE SURE THAT YOU RECYCLE THE REMOVED INSULATION MATERIAL. | DO ONE MORE TEST CYCLE OF THE COMPONENT.,2-1-R6
REFER,v,"REFERS, REFERRED, REFERRED",1. To tell a person where to find information 2. To give information,,"REFER TO CHAPTER 28 FOR THE INSTALLATION PROCEDURE. | BEFORE YOU DO THIS PROCEDURE, ENGAGE THE RAMP SERVICE DOOR SAFETY CONNECTOR PIN (THE PIN THAT HOLDS THE RAMP SERVICE DOOR, REFERRED TO IN THIS PROCEDURE AS THE “SAFETY CONNECTOR PIN”).",2-1-R6
REFLECTION,n,,Something that occurs when energy comes against a surface which sends it back,,A CLEAN SURFACE GIVES A BETTER REFLECTION.,2-1-R7
REFUEL,v,"REFUELS, REFUELED, REFUELED",To supply with fuel,,REFUEL THE VEHICLE.,2-1-R7
REGULAR,adj,,At specified or equal intervals,,THE COMPUTER GIVES REGULAR INPUTS TO THE CONTROL SYSTEM.,2-1-R7
REGULARLY,adv,,In a regular manner,,"IF THE FAILURE OCCURS REGULARLY, DO A SYSTEM TEST.",2-1-R7
REJECT,v,"REJECTS, REJECTED, REJECTED",To make a decision that something is unsatisfactory,,REJECT THE PARTS THAT ARE DAMAGED.,2-1-R8
RELATED,adj,,That has a relation,,CLEAN THE BALLS OF THE ELECTRICAL LATCH AND ITS RELATED SOCKETS.,2-1-R8
RELATION,n,,"The connection between two or more things caused by their functions, values, or conditions",,THE RELATION BETWEEN THE TWO CONTROL SYSTEMS KEEPS THE AIRCRAFT STABLE.,2-1-R8
RELEASE,v,"RELEASES, RELEASED, RELEASED","To make free, to let go",,RELEASE THE INSTRUMENT PANEL TO GET ACCESS TO THE CONNECTIONS.,2-1-R9
REMAINING,adj,,That continues to stay,,REMOVE THE REMAINING SEALANT WITH SOLVENT.,2-1-R9
REMOVAL,n,,A procedure which removes an object,,THE SUPERVISOR MUST GIVE THE APPLICABLE PROCEDURE FOR CORROSION REMOVAL.,2-1-R9
REMOVE,v,"REMOVES, REMOVED, REMOVED",To take or move something away from its initial position,,REMOVE THE INDICATOR FROM THE PANEL.,2-1-R9
REPAIR,n,,The act of repairing or the result when something is repaired,,"AFTER THE REPAIR, APPLY A PROTECTIVE LAYER OF GREASE TO ALL EXTERNAL SURFACES.",2-1-R10
REPAIR,v,"REPAIRS, REPAIRED, REPAIRED",To make an item serviceable,,REPAIR THE DEFECTIVE WIRING.,2-1-R10
REPLACE,v,"REPLACES, REPLACED, REPLACED",To remove an item and to install a new or serviceable item of the same type,,REPLACE THE RELAY.,2-1-R11
REPLACEMENT,n,,The item you install when you replace an item,,MAKE SURE THAT THE REPLACEMENT HAS THE CORRECT DIMENSIONS.,2-1-R11
REPORT,n,,The information that is recorded about a subject or occurrence,,"IF THERE IS A REPORT OF DAMAGE, DO AN ACCURATE INSPECTION.",2-1-R11
RESISTANT,adj,,That will help to prevent something,,THE MATERIAL OF THE SEATS IS RESISTANT TO FIRE.,2-1-R12
RESULT,n,,Something that occurs when you do something,,"IF THESE TESTS DO NOT GIVE THE CORRECT RESULTS, REPLACE THE UNIT.",2-1-R13
RETRACT,v,"RETRACTS, RETRACTED, RETRACTED",1. To pull in(to) 2. To move in(to),,RETRACT THE LANDING GEAR. | THE NOSE LANDING GEAR RETRACTS INTO THE FUSELAGE.,2-1-R14
RETRACTION,n,,The result when something retracts,,"DURING THE RETRACTION SEQUENCE, MAKE SURE THAT THE LANDING GEAR DOORS CLOSE.",2-1-R14
RIGHT,adj,,On the east side when you look north,,DO A FLOW CHECK OF THE PUMP IN THE RIGHT WING TANK.,2-1-R15
RIGID,adj,,That cannot easily bend or change shape,,REMOVE THE SCREWS FROM THE RIGID COVER.,2-1-R15
RISK,n,,The possibility that something that is dangerous occurs,,OBEY THE PRECAUTIONS TO PREVENT THE RISK OF FIRE.,2-1-R16
ROUGH,adj,"ROUGHER, ROUGHEST",Not smooth,,CLEAN THE ROUGH SURFACES CAREFULLY.,2-1-R16
ROUNDED,adj,,Not angular,,"WHEN YOU INSTALL THE PART, MAKE SURE THAT THE ROUNDED EDGE IS AGAINST THE STRUCTURE.",2-1-R17
ROUTING,n,,"The specified direction that cables, pipes, wires, and other parts of a system must go along",,DO NOT CHANGE THE ROUTING OF THE PIPE.,2-1-R17
ROW,n,,A number of objects in a line,,THE PANELS ARE INSTALLED IN ROWS.,2-1-R17
RUB,v,"RUBS, RUBBED, RUBBED",To move or cause something to move with pressure and friction along a surface,,RUB THE SURFACE WITH A CLEAN CLOTH. | MAKE SURE THAT THE COILS OF THE OXYGEN HOSE DO NOT RUB TOGETHER.,2-1-R17
SAFE,adj,"SAFER, SAFEST","Not dangerous, disarmed",,"BEFORE YOU CONTINUE THE WORK, MAKE THE AREA SAFE.",2-1-S1
SAFELY,adv,,In a safe manner,,MAKE SURE THAT THE LADDER IS SAFELY ATTACHED.,2-1-S1
SAFETY,n,,A condition that is safe,,"FOR YOUR SAFETY, ALWAYS USE A PROTECTIVE MASK.",2-1-S1
SAFETY,v,"SAFETIES, SAFETIED, SAFETIED",1. To prevent accidental operation 2. To make sure that something does not become loose,,"OPEN AND TAG THE CIRCUIT BREAKERS. | THEN, SAFETY THEM. | SAFETY THE NUT WITH LOCKWIRE.",2-1-S1
SAME,adj,,Agrees in all details,,THE SAME PROCEDURE IS APPLICABLE TO THE TWO UNITS.,2-1-S1
SAME,pron,,Agrees in all details,,THE ADJUSTMENT OF THE LEFT AND RIGHT ACTUATORS MUST BE THE SAME.,2-1-S2
SAMPLE,n,,A piece or quantity of something that you use for an inspection or test procedure to show that it has specified qualities,,"GET A SAMPLE OF THE FUEL. | THEN, MEASURE ITS SPECIFIC GRAVITY.",2-1-S2
SATISFACTORILY,adv,,In a satisfactory manner,,MAKE SURE THAT THE MICROSWITCHES OPERATE SATISFACTORILY.,2-1-S2
SATISFACTORY,adj,,Agrees with all that is necessary,,A CLEARANCE OF 3 mm IS SATISFACTORY.,2-1-S2
SCHEDULE,v,"SCHEDULES, SCHEDULED, SCHEDULED",To plan something in a time or a sequence,,SCHEDULE THE CHECKS OF THE TIRES AT REGULAR INTERVALS.,2-1-S2
SEAL,n,,Something that prevents access or leaks,,APPLY SEALANT TO THE FILLET SEALS.,2-1-S3
SEAL,v,"SEALS, SEALED, SEALED",To prevent access or leaks,,SEAL THE OPENINGS WITH POLYETHYLENE.,2-1-S3
SECONDARY,adj,,Second in importance,,THE SECONDARY FILTER REMOVES THE REMAINING CONTAMINATION.,2-1-S3
SEE,v,"SEES, SAW, SEEN",To know with the eyes,"For other meanings, use:",MAKE SURE THAT YOU CAN SEE THE CABLE THROUGH THE INSPECTION HOLE. | REFER TO TABLE 8001 FOR THE APPLICABLE TORQUE VALUES. | EXAMINE THE MEMBRANE FOR HOLES. | MOVE THE TUBE TO MAKE SURE THAT ITS INNER CONNECTION IS TIGHT.,2-1-S5
SELECT,v,"SELECTS, SELECTED, SELECTED",To make a choice,Do not use this word as a synonym for SET (v).,SELECT THE HYDRAULIC SYSTEM THAT YOU WILL PRESSURIZE. | SELECT A LANGUAGE FROM THE MENU. | SET THE SWITCH TO “TEST.”,2-1-S6
SELECTION,n,,The action or result of choosing,,THE OPERATION OF THE INDICATOR DOES NOT PREVENT THE SELECTION OF SYSTEM 1.,2-1-S6
SEMICIRCULAR,adj,,That has the shape of half a circle,,THE VALVE FLAPS ARE SEMICIRCULAR.,2-1-S6
SEND,v,"SENDS, SENT, SENT",To cause to go,,SEND THE FILTER ELEMENT TO THE MAINTENANCE SHOP FOR THE NECESSARY INSPECTION.,2-1-S6
SENSE,v,"SENSES, SENSED, SENSED",To get an input automatically,,THE TEMPERATURE BULB SENSES THE EXTERNAL AIR TEMPERATURE.,2-1-S6
SENSITIVE,adj,,That can sense small changes,,THE CAPSULE IS SENSITIVE TO PRESSURE CHANGES.,2-1-S6
SEPARATION,n,,The action or result of separating,,SEPARATION OF THESE PARTS IS NOT EASY.,2-1-S7
SEQUENCE,n,,The relation of items that follow one after the other in a list or the relation of steps or events that occur one after the other in time,,TIGHTEN THE BOLTS IN THE SEQUENCE THAT IS GIVEN IN FIGURE 3.,2-1-S7
SERRATION,n,,One or more notches or teeth as in a saw,,MAKE MARKS THAT SHOW THE LOCATION OF THE SERRATIONS.,2-1-S8
SERVICEABLE,adj,,Correct or satisfactory,,DO A VISUAL INSPECTION OF THE ADAPTER TO MAKE SURE THAT IT IS SERVICEABLE.,2-1-S8
SERVICING,n,,The steps necessary to prepare something for operation,,"BEFORE YOU DO SERVICING OF THE HYDRAULIC SYSTEM, ISOLATE IT.",2-1-S8
SET,n,,A group of related items that you (can) use for the same purpose,,USE THE SET OF TOOLS THAT IS SUPPLIED WITH THE UNIT.,2-1-S8
SET,v,"SETS, SET, SET","To put something into a given adjustment, condition, or mode",,SET THE ALTIMETER SCALE TO 1013 mbar.,2-1-S8
SHAKE,v,"SHAKES, SHOOK, SHAKEN",To move or cause to move quickly up and down or from side to side,,SHAKE THE CONTAINER. | THE CONTROL COLUMN STARTS TO SHAKE BEFORE A STALL OCCURS.,2-1-S9
SHAPE,n,,The contour of an object,,THE PATCH MUST BE THE SAME SHAPE AS THE CUTOUT.,2-1-S9
SHARP,adj,"SHARPER, SHARPEST",That can cut or make a hole,,MAKE A HOLE WITH A SHARP TOOL.,2-1-S9
SHEET,n,,A piece of material that is thin in relation to its length and width,,"IF THE SHEETS HAVE DENTS WITH A DEPTH OF MORE THAN 0.5 mm, REMOVE THESE DENTS.",2-1-S10
SHINY,adj,"SHINIER, SHINIEST",That can cause a reflection of light,,CLEAN THE SHINY AREA OF THE OLEO STRUT.,2-1-S10
SHOCK,n,,The sudden effect of energy on a person or object,,SHOCKS CAN CAUSE DAMAGE TO THE GYROSCOPE.,2-1-S10
SHORT,adj,"SHORTER, SHORTEST",That has small length or duration,"If it is possible, be accurate.","ATTACH THE SHORT ARM OF THE BELLCRANK TO THE ROD. | AFTER YOU STOP THE POWER SUPPLY, THE TEMPERATURE DECREASES IN A SHORT TIME. | THIS TIME MUST NOT BE MORE THAN 30 SECONDS.",2-1-S10
SHOW,v,"SHOWS, SHOWED, SHOWN",1. To cause to be seen 2. To be in view or come into view,,THE INDICATOR SHOWS THE LEVEL OF BATTERY CHARGE. | THE SYMBOL SHOWS ON THE SCREEN.,2-1-S11
SIDE,n,,1. The specified surface or area of an object 2. A location or direction that has a relationship to a center or a line of division,,LUBRICATE ONE SIDE OF THE WASHER. | PUSH THE UNIT OUT AND THEN MOVE IT TO THE LEFT SIDE.,2-1-S11
SIGN,n,,The indication of a possible condition,,EXAMINE THE SURFACE FOR SIGNS OF INTERNAL DAMAGE.,2-1-S11
SIMULATE,v,"SIMULATES, SIMULATED, SIMULATED",To make a condition that is the same as one that can occur in operation,,SIMULATE A WHEEL SPEED OF 80 KNOTS.,2-1-S12
SINCE,conj,,Function word that shows: “from some time in the past until a later time or now”,"For other meanings, use:","IF IT IS MORE THAN TWO HOURS SINCE YOU MIXED THE COMPOUND, DO NOT USE IT. | BE CAREFUL WHEN YOU USE ALODINE, BECAUSE IT IS A DANGEROUS MATERIAL.",2-1-S12
SLOPE,n,,A surface that is not level,,"IF THE VEHICLE IS PARKED ON A SLOPE, MAKE SURE THAT WHEEL CHOCKS ARE IN POSITION.",2-1-S14
SLOT,n,,A long opening that is not wide,,PUSH THE CABLES THROUGH THE SLOT IN FRAME 8 AND ATTACH THEM TO THE CLIPS.,2-1-S14
SLOW,adj,"SLOWER, SLOWEST",At low speed,,MAKE SURE THAT THE MOVEMENT OF THE ELEVATORS IS SLOW.,2-1-S14
SLOWLY,adv,,In a slow manner,,TURN THE KNOB SLOWLY.,2-1-S14
SMALL,adj,"SMALLER, SMALLEST","Less than average in dimension, quantity, quality, or capacity",,"IF THE TEMPERATURE INCREASES SUDDENLY, ADD A SMALL QUANTITY OF REAGENT TO GET A STABLE REACTION.",2-1-S15
SMELL,v,"SMELLS, SMELLED, SMELLED",To sense with the nose,,"IF YOU SMELL OIL IN THE COMPARTMENT, REPLACE THE RECIRCULATION FILTERS.",2-1-S15
SMOKE,n,,A gas that has particles of burned material and that you can see,,"WHEN THE CONCENTRATION OF SMOKE IS MORE THAN THE LIMIT, AN ALARM OPERATES.",2-1-S15
SMOKE,v,"SMOKES, SMOKED, SMOKED",To breathe the fumes of burning material and especially tobacco,,DO NOT SMOKE IN THE WORK AREA.,2-1-S15
SMOOTH,adj,"SMOOTHER, SMOOTHEST",1. That has a continuous uniform surface 2. That has a constant rate of movement,,MAKE SURE THAT THE PAINTED SURFACE IS SMOOTH. | EXAMINE THE LINKAGE FOR SMOOTH MOVEMENT.,2-1-S15
SMOOTHLY,adv,,In a smooth manner,,MAKE SURE THAT THE REDUCTION GEAR MOVES SMOOTHLY.,2-1-S15
